"Read Position"	"SRR11711678"	"SRR11711679"	"SRR11711680"	"SRR11711681"	"SRR11711682"	"SRR11711683"	"SRR11711684"	"SRR11711685"	"SRR11711686"	"SRR11711687"	"SRR11711688"	"SRR11711689"	"SRR11711690"	"SRR11711691"	"SRR11711692"	"SRR11711693"	"SRR11711695"	"SRR11711706"	"SRR11711717"	"SRR11711728"	"SRR11711739"	"SRR11711760"	"SRR11711771"	"SRR11711782"	"SRR11711793"	"SRR11711804"	"SRR11711805"	"SRR11711806"	"SRR11711807"	"SRR11711808"	"SRR11711809"	"SRR11711810"	"SRR11711811"	"SRR11711812"	"SRR11711813"	"SRR11711814"	"SRR11711815"	"SRR11711816"	"SRR11711817"	"SRR11711818"	"SRR11711819"	"SRR11711820"	"SRR11711821"	"SRR11711822"	"SRR11711823"	"SRR11711824"	"SRR11711825"	"SRR11711826"	"SRR11711827"	"SRR11711828"	"SRR11711833"	"SRR11711844"	"SRR11711855"	"SRR11711866"	"SRR11711877"	"SRR11711888"	"SRR11711899"	"SRR11711907"	"SRR11711908"	"SRR11711909"	"SRR11711910"	"SRR11711911"	"SRR11711912"	"SRR11711913"	"SRR11711914"	"SRR11711915"	"SRR11711916"	"SRR11711927"	"SRR11711938"	"SRR11711949"	"SRR11711950"	"SRR11711951"
13	37.0742	37.5287	37.5784	37.4431	37.279	37.517	37.1655	37.5642	36.3794	37.2481	37.5226	37.4551	37.3095	37.2844	37.4976	37.5506	37.1126	37.1608	37.2116	36.6565	37.4675	37.2804	37.3429	36.6234	37.4558	37.1849	37.0655	37.3203	37.4278	37.3275	37.0618	37.1027	37.233	37.3675	36.649	37.3538	37.2146	37.2111	37.5131	37.1908	37.156	37.4032	36.9882	37.1502	37.4652	37.0516	37.3719	37.1723	37.4661	37.1075	37.2729	37.3777	36.9403	37.1758	37.4373	37.1626	37.1907	37.0065	37.482	37.531	37.1899	37.161	37.3959	37.2189	37.4614	37.5115	37.2378	37.2615	37.2349	37.2154	37.225	37.2912
14	38.4817	39.0142	39.0672	38.9117	38.6622	38.9799	38.5147	39.0139	37.8311	38.6866	39.0058	38.9157	38.7342	38.6754	38.9586	38.9951	38.4876	38.5146	38.5868	37.9391	38.9139	38.6686	38.7495	37.874	38.8997	38.5854	38.4163	38.7542	38.8851	38.7666	38.4024	38.4751	38.6123	38.789	37.9136	38.7809	38.6211	38.6127	38.982	38.607	38.5131	38.854	38.3039	38.5194	38.9162	38.3875	38.8334	38.5397	38.9189	38.4972	38.6524	38.8094	38.2558	38.5403	38.8728	38.5397	38.5841	38.4046	38.9572	39.0103	38.6012	38.5417	38.8579	38.588	38.9151	38.9498	38.6524	38.6833	38.6117	38.6045	38.6053	38.6892
15	38.4523	39.0047	39.0139	38.8547	38.6405	38.9434	38.508	38.9817	37.7647	38.6743	38.9863	38.8588	38.694	38.6438	38.9235	38.9528	38.4329	38.468	38.5569	37.8709	38.872	38.6347	38.7334	37.8214	38.8631	38.578	38.3594	38.749	38.8613	38.7384	38.3876	38.4295	38.6006	38.7679	37.8502	38.7376	38.5862	38.6118	38.961	38.5658	38.5199	38.8043	38.27	38.5095	38.8927	38.3262	38.8098	38.5369	38.913	38.4536	38.6688	38.7555	38.2082	38.535	38.85	38.4802	38.564	38.3755	38.9438	38.9567	38.5481	38.5034	38.7986	38.5632	38.8789	38.9132	38.6396	38.643	38.6041	38.5662	38.5714	38.6768
16	38.438	38.9755	39.0171	38.8529	38.6304	38.9343	38.4787	38.9712	37.7877	38.6421	38.9651	38.8615	38.7002	38.6177	38.9183	38.9496	38.3744	38.4265	38.5274	37.8482	38.8792	38.591	38.7079	37.8096	38.8708	38.5592	38.3802	38.7269	38.8501	38.7265	38.3663	38.3738	38.5451	38.7499	37.8417	38.7506	38.57	38.5785	38.9504	38.5608	38.4857	38.7672	38.2138	38.4751	38.866	38.3474	38.7885	38.5141	38.903	38.4375	38.6239	38.7424	38.1495	38.4957	38.8231	38.4908	38.5368	38.3573	38.9151	38.9629	38.535	38.4384	38.797	38.554	38.8657	38.908	38.6181	38.6262	38.5799	38.4992	38.5321	38.6485
17	38.3608	38.9601	39.0009	38.822	38.6106	38.8999	38.4295	38.9474	37.7683	38.5875	38.9528	38.848	38.6629	38.6067	38.874	38.9303	38.3502	38.391	38.4934	37.8561	38.8242	38.5601	38.677	37.7934	38.8133	38.4892	38.3205	38.6617	38.8069	38.6972	38.3265	38.3453	38.5286	38.7139	37.8332	38.6861	38.5537	38.5002	38.9202	38.5271	38.4444	38.7325	38.1983	38.4365	38.8401	38.2882	38.7242	38.4666	38.844	38.4242	38.5833	38.7029	38.1282	38.4622	38.7931	38.4366	38.4634	38.2796	38.8975	38.9428	38.5076	38.4182	38.7654	38.5379	38.8323	38.8789	38.5478	38.606	38.5348	38.4778	38.5043	38.6225
18	38.378	38.9264	38.9794	38.8066	38.5348	38.8559	38.362	38.9081	37.7383	38.595	38.9078	38.8251	38.6263	38.5542	38.8339	38.8909	38.2855	38.3443	38.4162	37.8526	38.817	38.5276	38.6129	37.8151	38.8112	38.4812	38.3295	38.6537	38.7821	38.682	38.2646	38.3362	38.495	38.6511	37.8455	38.6821	38.5277	38.4915	38.8927	38.5137	38.3857	38.6907	38.1685	38.4134	38.7781	38.2963	38.7254	38.42	38.8218	38.3969	38.5249	38.6759	38.101	38.4357	38.7327	38.4216	38.4366	38.2938	38.8629	38.9172	38.4669	38.393	38.7479	38.4566	38.7874	38.8349	38.5331	38.5788	38.481	38.4402	38.4807	38.5647
19	38.3579	38.9253	38.9853	38.8291	38.5673	38.8701	38.3908	38.9382	37.7227	38.5793	38.9083	38.8536	38.6569	38.5628	38.8522	38.923	38.3283	38.3498	38.4532	37.7469	38.8751	38.5338	38.6492	37.7439	38.8678	38.5482	38.3584	38.7336	38.8069	38.6766	38.3056	38.3703	38.4903	38.6963	37.7733	38.7447	38.5254	38.5653	38.9259	38.507	38.4172	38.7382	38.1964	38.3982	38.8273	38.3338	38.7907	38.4488	38.8675	38.394	38.5676	38.6975	38.146	38.4183	38.7879	38.4623	38.5043	38.2814	38.8606	38.9292	38.4703	38.43	38.7713	38.4916	38.8012	38.8681	38.597	38.5728	38.5105	38.481	38.4882	38.6022
20	38.3527	38.9035	38.9456	38.7963	38.5041	38.8254	38.3673	38.9134	37.7051	38.5566	38.8882	38.8118	38.607	38.5082	38.8004	38.9036	38.2394	38.2851	38.3999	37.7103	38.8229	38.4732	38.604	37.6984	38.8171	38.4754	38.31	38.6808	38.7368	38.6503	38.2662	38.2839	38.456	38.6391	37.7333	38.6932	38.478	38.5156	38.8709	38.4565	38.4003	38.6519	38.1426	38.3556	38.7754	38.2796	38.7308	38.4237	38.8181	38.3392	38.5534	38.6332	38.0699	38.383	38.7281	38.406	38.4316	38.2641	38.8439	38.8929	38.4114	38.3558	38.7349	38.4271	38.7517	38.8431	38.5248	38.5241	38.483	38.4014	38.4261	38.5507
21	38.2886	38.8731	38.9088	38.741	38.4698	38.7911	38.32	38.868	37.6334	38.5076	38.8588	38.7725	38.5639	38.4707	38.7471	38.8711	38.1371	38.2494	38.3512	37.6661	38.7769	38.441	38.5646	37.6587	38.7716	38.3983	38.2582	38.5968	38.6901	38.6067	38.1984	38.2268	38.4067	38.5997	37.6847	38.643	38.4421	38.4345	38.8221	38.4178	38.3546	38.584	38.0704	38.3192	38.7292	38.2456	38.6305	38.3729	38.7633	38.3078	38.5085	38.5677	38.001	38.3396	38.6824	38.3492	38.3462	38.198	38.8169	38.8498	38.3615	38.267	38.684	38.3895	38.7183	38.7992	38.4483	38.485	38.4333	38.3125	38.396	38.5135
22	38.2307	38.8321	38.8797	38.7129	38.4257	38.7659	38.2372	38.8433	37.7745	38.447	38.8081	38.771	38.5165	38.4311	38.7313	38.8377	38.1114	38.1802	38.3109	37.5432	38.7175	38.3832	38.5227	37.5317	38.7159	38.3732	38.166	38.5693	38.6584	38.5701	38.128	38.1729	38.3595	38.5668	37.5521	38.5853	38.3979	38.4113	38.7879	38.3718	38.2664	38.5578	38.0208	38.2728	38.69	38.1485	38.6177	38.3094	38.7348	38.2549	38.4077	38.5546	37.9445	38.297	38.6437	38.2752	38.3182	38.1394	38.7694	38.8202	38.3169	38.2227	38.6569	38.3496	38.6938	38.7723	38.4241	38.4386	38.3665	38.273	38.3418	38.4772
