"Read Position"	"SRR11711678"	"SRR11711679"	"SRR11711680"	"SRR11711681"	"SRR11711682"	"SRR11711683"	"SRR11711684"	"SRR11711685"	"SRR11711686"	"SRR11711687"	"SRR11711688"	"SRR11711689"	"SRR11711690"	"SRR11711691"	"SRR11711692"	"SRR11711693"	"SRR11711695"	"SRR11711706"	"SRR11711717"	"SRR11711728"	"SRR11711739"	"SRR11711760"	"SRR11711771"	"SRR11711782"	"SRR11711793"	"SRR11711804"	"SRR11711805"	"SRR11711806"	"SRR11711807"	"SRR11711808"	"SRR11711809"	"SRR11711810"	"SRR11711811"	"SRR11711812"	"SRR11711813"	"SRR11711814"	"SRR11711815"	"SRR11711816"	"SRR11711817"	"SRR11711818"	"SRR11711819"	"SRR11711820"	"SRR11711821"	"SRR11711822"	"SRR11711823"	"SRR11711824"	"SRR11711825"	"SRR11711826"	"SRR11711827"	"SRR11711828"	"SRR11711833"	"SRR11711844"	"SRR11711855"	"SRR11711866"	"SRR11711877"	"SRR11711888"	"SRR11711899"	"SRR11711907"	"SRR11711908"	"SRR11711909"	"SRR11711910"	"SRR11711911"	"SRR11711912"	"SRR11711913"	"SRR11711914"	"SRR11711915"	"SRR11711916"	"SRR11711927"	"SRR11711938"	"SRR11711949"	"SRR11711950"	"SRR11711951"
11	0	0	0	0.00265	0.0044	0	0	0	0	0	0	0	0.002675	0.00039999999999999996	0	0	0	0	0	0	0	0	0	0	0	0.0006000000000000001	0	0.0008749999999999999	0	0	0	0	0	0	0	0	0	0.0008749999999999999	0	0	0	0	0	0	0	0	0.000525	0	0.00025	0	0	0	0	0	0	0	0.0007750000000000001	0	0	0	0	0	0.0007999999999999999	0.0017499999999999998	0	0	0.000625	0	0	0	0	0
12	0	0	0	0.000375	0.000725	0	0	0	0	0	0	0	0.000175	0	0	0	0	0	0	0	0	0	0	0	0	0.005475000000000001	0	0.0057	0.00025	0	0	0	0	0	0	0	0	0.007275	0.000225	0	0	0	0	0	0	0	0.00355	0	0.002775	0	0	0	0	0	0	0	0.005075	0	0	0	0	0	0.00009999999999999999	0.00019999999999999998	0	0	0.006475	0	0	0	0	0
13	0	0	0	0.000425	0.002625	0	0	0	0	0	0	0	0.00085	0.000175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00009999999999999999	0.0007750000000000001	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014919199999999999	0.000049999999999999996	0	0	0.000142298	0.00009999999999999999	0.00075	0.000357172	0.000525	0	0	0	0	0	0	0.00255574	0.00019999999999999998	0	0.001675	0	0	0	0	0	0	0	0.0006571659999999999	0.001275	0	0	0	0	0	0	0	0	0.00023709300000000002	0.0006000000000000001	0	0	0	0	0	0	0	0	0	0.001275	0	0	0	0	0
15	0	0	0	0.000024999999999999998	0.0006749999999999999	0	0	0	0	0	0	0	0.000125	0	0	0	0	0	0	0.00132615	0	0	0	0.000142298	0	0.0072	0.000259761	0.006925000000000001	0	0	0	0	0	0	0.00277798	0	0	0.01	0	0	0	0	0	0	0	0.000597423	0.0075	0	0.0015	0	0	0	0	0	0	0.00005268719999999999	0.00585	0	0	0	0	0	0.000049999999999999996	0.00007500000000000001	0	0	0.007625	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002975	0	0.002625	0	0	0	0	0	0	0	0	0	0.00455	0	0	0	0	0	0	0	0	0.0039499999999999995	0	0.00007500000000000001	0	0	0	0	0	0	0	0.0023499999999999997	0	0	0	0	0	0	0	0	0	0.00345	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0.01245	0.01355	0.00125	0.0059	0.013825	0	0.006825	0	0	0.02245	0.0069	0.00047500000000000005	0.007475	0.013525	0.0063999999999999994	0	0	0	0	0	0	0	0	0	0.0024000000000000002	0	0.001475	0.0011	0	0	0	0	0	0	0	0	0.00205	0.0011250000000000001	0	0	0	0	0	0	0	0.0016500000000000002	0	0.001275	0	0	0	0	0	0	0	0.002125	0	0.012875000000000001	0.012549999999999999	0	0	0.0009249999999999999	0.00475	0.013025	0.006975	0.0018499999999999999	0	0	0	0	0
