"Read Position"	"SRR11196520"	"SRR11196521"	"SRR11196522"	"SRR11196523"	"SRR11196524"	"SRR11196525"	"SRR11196526"	"SRR11196527"	"SRR11196528"	"SRR11196529"	"SRR11196530"	"SRR11196531"	"SRR11196532"	"SRR11196533"	"SRR11196534"	"SRR11196535"	"SRR11196536"	"SRR11196537"	"SRR11196538"	"SRR11196539"
21	37.1619	37.2247	37.2457	37.2046	37.415	37.1325	37.1687	37.3417	37.1237	37.0419	37.2271	37.1258	37.2972	37.1405	37.3517	37.1195	37.2061	37.3327	37.1781	37.1773
22	37.1702	37.2316	37.2502	37.2123	37.4221	37.1429	37.1784	37.3491	37.1322	37.0505	37.2329	37.1332	37.304	37.1494	37.3614	37.1273	37.2155	37.3405	37.1872	37.1815
23	37.1606	37.2262	37.2438	37.2039	37.4158	37.1362	37.1697	37.344	37.1236	37.0428	37.2259	37.1267	37.2989	37.1427	37.3561	37.1201	37.2095	37.3332	37.1803	37.1749
24	37.1697	37.2322	37.2501	37.2105	37.4201	37.1445	37.1759	37.3493	37.1306	37.0508	37.2307	37.1345	37.3053	37.1505	37.3615	37.1299	37.2156	37.3404	37.1873	37.1784
25	37.1706	37.2354	37.2536	37.2129	37.4227	37.1478	37.1809	37.3535	37.1331	37.0528	37.2366	37.1366	37.306	37.153	37.3666	37.1334	37.2195	37.3434	37.1907	37.1814
26	37.1673	37.2303	37.2494	37.2077	37.421	37.1433	37.1776	37.3495	37.129	37.0481	37.2336	37.1376	37.3026	37.1498	37.365	37.1295	37.2162	37.3409	37.1877	37.1842
27	37.1728	37.2381	37.2538	37.2151	37.4272	37.1501	37.1834	37.3542	37.1347	37.0548	37.2397	37.1441	37.3079	37.1562	37.371	37.1354	37.2239	37.3492	37.1951	37.1854
28	37.1752	37.2403	37.2567	37.2168	37.4297	37.1531	37.1871	37.3556	37.1379	37.0577	37.2437	37.1415	37.3114	37.1606	37.3721	37.1389	37.2268	37.3504	37.1981	37.1807
29	37.1722	37.2384	37.2544	37.2137	37.4281	37.1508	37.1833	37.3541	37.133	37.0551	37.2394	37.1393	37.309	37.1569	37.3707	37.1346	37.2243	37.348	37.1931	37.1806
30	37.1702	37.2398	37.2516	37.2118	37.4264	37.15	37.1818	37.3512	37.1318	37.0532	37.2368	37.1485	37.3047	37.1571	37.3713	37.1342	37.2217	37.35	37.1921	37.1898
31	37.178	37.2501	37.2628	37.2202	37.4367	37.1603	37.1919	37.3615	37.1399	37.0632	37.2466	37.1585	37.315	37.168	37.3814	37.1472	37.2337	37.3605	37.2027	37.2023
32	37.1755	37.2494	37.2623	37.2181	37.4372	37.1603	37.1917	37.3619	37.1387	37.0634	37.2462	37.1599	37.3151	37.1664	37.3839	37.1474	37.2342	37.3622	37.2001	37.2034
