"Read Position"	"SRR11196520"	"SRR11196521"	"SRR11196522"	"SRR11196523"	"SRR11196524"	"SRR11196525"	"SRR11196526"	"SRR11196527"	"SRR11196528"	"SRR11196529"	"SRR11196530"	"SRR11196531"	"SRR11196532"	"SRR11196533"	"SRR11196534"	"SRR11196535"	"SRR11196536"	"SRR11196537"	"SRR11196538"	"SRR11196539"
51	37.3363	37.3795	37.3874	37.2751	37.3319	37.4079	37.3838	37.3316	37.3484	37.3496	37.4149	37.3483	37.3663	37.4171	37.4259	37.4029	37.4362	37.3322	37.3603	37.3524
52	37.3579	37.4033	37.4094	37.2954	37.3499	37.4368	37.4081	37.3549	37.3724	37.3739	37.4424	37.3711	37.3908	37.4433	37.4527	37.4294	37.4635	37.3534	37.3855	37.3778
53	37.3364	37.3837	37.3912	37.2728	37.3274	37.4232	37.3921	37.3344	37.3518	37.3568	37.4274	37.352	37.3698	37.4293	37.4395	37.4141	37.4503	37.3307	37.3664	37.3586
54	37.3402	37.3884	37.3969	37.2739	37.3323	37.4294	37.3979	37.337	37.3573	37.3614	37.4327	37.3593	37.3751	37.4348	37.4439	37.4206	37.4563	37.3338	37.3717	37.3646
55	37.3281	37.3781	37.3863	37.2605	37.3166	37.4216	37.3886	37.3242	37.3469	37.3494	37.4232	37.3503	37.3632	37.4268	37.4351	37.4127	37.4468	37.3209	37.361	37.3556
56	37.3125	37.3631	37.371	37.2426	37.3001	37.4091	37.372	37.3078	37.3299	37.3326	37.412	37.3356	37.3477	37.4142	37.4227	37.3988	37.4352	37.3039	37.3453	37.3371
57	37.3039	37.3556	37.3628	37.2331	37.2925	37.4045	37.3667	37.3009	37.3222	37.3258	37.4074	37.3273	37.3422	37.4076	37.4175	37.3932	37.4283	37.2964	37.3394	37.3276
58	37.2837	37.3377	37.3431	37.2117	37.2733	37.3865	37.3499	37.2798	37.3026	37.3055	37.3903	37.3047	37.3208	37.3931	37.4012	37.3765	37.4132	37.2782	37.3219	37.3048
59	37.2758	37.329	37.3359	37.203	37.2652	37.3821	37.343	37.2719	37.2953	37.2986	37.382	37.2957	37.3127	37.3854	37.3944	37.3698	37.407	37.268	37.3159	37.2958
60	37.2688	37.3226	37.3299	37.1952	37.257	37.3771	37.3358	37.2655	37.2876	37.2902	37.3767	37.2886	37.3042	37.3801	37.388	37.3638	37.4017	37.2624	37.3094	37.2899
61	37.2615	37.3169	37.3221	37.1877	37.2468	37.3698	37.332	37.2565	37.2833	37.2831	37.3723	37.2804	37.297	37.3754	37.3817	37.3573	37.3963	37.2555	37.3025	37.2823
62	37.2589	37.3131	37.3209	37.1851	37.2438	37.3661	37.3279	37.253	37.2787	37.2802	37.3704	37.2765	37.2942	37.3729	37.3806	37.3548	37.3939	37.2529	37.3004	37.2776
